#longitude,latitude,distance,bathymetry
142.292119855,37.336346794,112250.053563,-1004.32739764
142.294942716,37.3363757579,112500.053517,-1002.35152973
142.297765579,37.3364046548,112750.053471,-1001.26097916
142.300588444,37.3364334846,113000.053424,-999.911535451
142.303411311,37.3364622473,113250.053377,-999.300447682
142.30623418,37.3364909429,113500.053329,-999.50538376
142.309057052,37.3365195715,113750.053281,-999.634472856
142.311879925,37.3365481331,114000.053232,-999.759188463
142.314702801,37.3365766275,114250.053182,-999.942979601
142.317525679,37.3366050549,114500.053132,-1000.57376035
142.320348559,37.3366334152,114750.053082,-1000.48914289
142.323171441,37.3366617085,115000.053031,-999.601102088
142.325994325,37.3366899347,115250.052979,-998.183613734
142.328817211,37.3367180938,115500.052927,-995.908742023
142.331640099,37.3367461858,115750.052874,-992.884965944
142.33446299,37.3367742108,116000.052821,-989.356916942
142.337285882,37.3368021688,116250.052768,-985.123688027
142.340108777,37.3368300596,116500.052713,-980.401574432
142.342931674,37.3368578834,116750.052659,-975.478492441
142.345754572,37.3368856401,117000.052603,-969.928974251
142.348577473,37.3369133298,117250.052548,-964.192422869
142.351400376,37.3369409524,117500.052491,-958.799679581
142.354223281,37.3369685079,117750.052435,-953.285271083
142.357046188,37.3369959963,118000.052377,-947.8859858
142.359869097,37.3370234177,118250.052319,-942.808592569
142.362692008,37.337050772,118500.052261,-938.372271936
142.365514921,37.3370780593,118750.052202,-934.809798824
142.368337836,37.3371052794,119000.052143,-932.261035456
142.371160753,37.3371324325,119250.052083,-930.051303331
142.373983672,37.3371595186,119500.052023,-928.442904687
142.376806594,37.3371865375,119750.051962,-927.463587523
142.379629517,37.3372134894,120000.0519,-926.210511725
142.382452442,37.3372403743,120250.051838,-924.715489535
142.385275369,37.337267192,120500.051776,-922.933050619
142.388098298,37.3372939427,120750.051713,-920.644645048
142.39092123,37.3373206263,121000.051649,-918.088386017
142.393744163,37.3373472429,121250.051586,-915.277370724
142.396567098,37.3373737924,121500.051521,-911.809868112
142.399390035,37.3374002748,121750.051456,-908.232104963
142.402212974,37.3374266901,122000.051391,-904.852455431
142.405035915,37.3374530384,122250.051325,-902.388191255
142.407858858,37.3374793196,122500.051258,-899.818642168
142.410681803,37.3375055338,122750.051191,-897.549163473
142.41350475,37.3375316808,123000.051124,-896.942895301
142.416327699,37.3375577608,123250.051056,-897.183005369
142.41915065,37.3375837737,123500.050988,-898.449232888
142.421973603,37.3376097196,123750.050919,-901.174700295
142.424796557,37.3376355984,124000.05085,-905.492093395
142.427619514,37.3376614101,124250.05078,-911.097607773
142.430442473,37.3376871547,124500.050709,-917.488825371
142.433265433,37.3377128323,124750.050639,-925.04488909
142.436088395,37.3377384428,125000.050567,-934.451237745
142.43891136,37.3377639862,125250.050496,-946.44452481
142.441734326,37.3377894626,125500.050423,-961.715730146
142.444557294,37.3378148719,125750.050351,-978.317738067
142.447380264,37.3378402141,126000.050277,-994.539289887
142.450203236,37.3378654892,126250.050204,-1011.61397019
142.453026209,37.3378906973,126500.050129,-1026.50379876
142.455849185,37.3379158383,126750.050055,-1037.06146096
142.458672163,37.3379409122,127000.04998,-1043.08163134
142.461495142,37.3379659191,127250.049904,-1046.44629589
142.464318123,37.3379908589,127500.049828,-1048.18211641
142.467141106,37.3380157316,127750.049752,-1047.7720244
142.469964091,37.3380405372,128000.049675,-1047.76867136
142.472787078,37.3380652758,128250.049597,-1049.27461868
142.475610066,37.3380899473,128500.049519,-1051.70263626
142.478433057,37.3381145517,128750.049441,-1057.07544788
142.481256049,37.338139089,129000.049362,-1065.98194495
142.484079043,37.3381635593,129250.049283,-1078.28855825
